x,y,prim,raw
18,156,LUT,SLICE_X18Y156
21,156,LUT,SLICE_X21Y156
22,156,LUT,SLICE_X22Y156
23,156,LUT,SLICE_X23Y156
25,156,LUT,SLICE_X25Y156
26,156,LUT,SLICE_X26Y156
27,156,LUT,SLICE_X27Y156
30,156,LUT,SLICE_X30Y156
32,156,LUT,SLICE_X32Y156
33,156,LUT,SLICE_X33Y156
35,156,LUT,SLICE_X35Y156
36,156,LUT,SLICE_X36Y156
38,156,LUT,SLICE_X38Y156
41,156,LUT,SLICE_X41Y156
44,156,LUT,SLICE_X44Y156
46,156,LUT,SLICE_X46Y156
47,156,LUT,SLICE_X47Y156
0,155,LUT,SLICE_X0Y155
2,155,LUT,SLICE_X2Y155
3,155,LUT,SLICE_X3Y155
6,155,LUT,SLICE_X6Y155
7,155,LUT,SLICE_X7Y155
8,155,LUT,SLICE_X8Y155
10,155,LUT,SLICE_X10Y155
11,155,LUT,SLICE_X11Y155
12,155,LUT,SLICE_X12Y155
13,155,LUT,SLICE_X13Y155
15,155,LUT,SLICE_X15Y155
17,155,LUT,SLICE_X17Y155
18,155,LUT,SLICE_X18Y155
21,155,LUT,SLICE_X21Y155
22,155,LUT,SLICE_X22Y155
23,155,LUT,SLICE_X23Y155
25,155,LUT,SLICE_X25Y155
26,155,LUT,SLICE_X26Y155
27,155,LUT,SLICE_X27Y155
30,155,LUT,SLICE_X30Y155
32,155,LUT,SLICE_X32Y155
33,155,LUT,SLICE_X33Y155
35,155,LUT,SLICE_X35Y155
36,155,LUT,SLICE_X36Y155
38,155,LUT,SLICE_X38Y155
41,155,LUT,SLICE_X41Y155
44,155,LUT,SLICE_X44Y155
46,155,LUT,SLICE_X46Y155
47,155,LUT,SLICE_X47Y155
0,154,LUT,SLICE_X0Y154
2,154,LUT,SLICE_X2Y154
3,154,LUT,SLICE_X3Y154
6,154,LUT,SLICE_X6Y154
7,154,LUT,SLICE_X7Y154
8,154,LUT,SLICE_X8Y154
10,154,LUT,SLICE_X10Y154
11,154,LUT,SLICE_X11Y154
